"Date de déclaration du cas","Par lien épidémiologique","En laboratoire","Moyenne mobile (7 jours)"
"2020-02-24 00:00:00",0,0,0.14
"2020-02-25 00:00:00",0,1,0.29
"2020-02-26 00:00:00",0,0,0.29
"2020-02-27 00:00:00",0,0,0.43
"2020-02-28 00:00:00",0,1,0.86
"2020-02-29 00:00:00",0,0,1
"2020-03-01 00:00:00",1,0,1.29
"2020-03-02 00:00:00",0,3,1.43
"2020-03-03 00:00:00",0,2,1.57
"2020-03-04 00:00:00",0,2,1.57
"2020-03-05 00:00:00",0,1,1.57
"2020-03-06 00:00:00",0,2,1.29
"2020-03-07 00:00:00",0,0,1.29
"2020-03-08 00:00:00",0,1,2.43
"2020-03-09 00:00:00",0,1,3.14
"2020-03-10 00:00:00",1,1,3.43
"2020-03-11 00:00:00",0,10,6
"2020-03-12 00:00:00",0,6,7.71
"2020-03-13 00:00:00",0,4,10
"2020-03-14 00:00:00",0,18,15.86
"2020-03-15 00:00:00",0,13,20.29
"2020-03-16 00:00:00",0,17,30
"2020-03-17 00:00:00",0,43,48
"2020-03-18 00:00:00",1,40,72
"2020-03-19 00:00:00",1,73,104.14
"2020-03-20 00:00:00",8,122,151
"2020-03-21 00:00:00",2,184,183.29
"2020-03-22 00:00:00",1,237,229.86
"2020-03-23 00:00:00",8,337,271.57
"2020-03-24 00:00:00",10,259,317.43
"2020-03-25 00:00:00",7,360,350.29
"2020-03-26 00:00:00",5,361,397.43
"2020-03-27 00:00:00",3,448,430.57
"2020-03-28 00:00:00",8,408,496.29
"2020-03-29 00:00:00",15,553,543.57
"2020-03-30 00:00:00",44,533,616.43
"2020-03-31 00:00:00",49,680,662
"2020-04-01 00:00:00",55,643,717.86
"2020-04-02 00:00:00",74,802,727.14
"2020-04-03 00:00:00",81,689,770
"2020-04-04 00:00:00",111,696,778.57
"2020-04-05 00:00:00",84,549,777
"2020-04-06 00:00:00",87,790,758.71
"2020-04-07 00:00:00",77,712,739.43
"2020-04-08 00:00:00",86,601,719
"2020-04-09 00:00:00",101,647,741.57
"2020-04-10 00:00:00",86,549,754
"2020-04-11 00:00:00",77,587,778.43
"2020-04-12 00:00:00",82,709,837.57
"2020-04-13 00:00:00",98,866,868.43
"2020-04-14 00:00:00",127,833,924
"2020-04-15 00:00:00",232,869,923.86
"2020-04-16 00:00:00",117,847,927.86
"2020-04-17 00:00:00",168,856,920.14
"2020-04-18 00:00:00",110,553,898
"2020-04-19 00:00:00",94,725,867
"2020-04-20 00:00:00",158,752,859
"2020-04-21 00:00:00",114,691,835.29
"2020-04-22 00:00:00",139,745,849.14
"2020-04-23 00:00:00",151,757,819.57
"2020-04-24 00:00:00",133,725,819.86
"2020-04-25 00:00:00",94,666,836.29
"2020-04-26 00:00:00",89,523,838.29
"2020-04-27 00:00:00",125,787,851.86
"2020-04-28 00:00:00",129,791,879.57
"2020-04-29 00:00:00",123,775,899
"2020-04-30 00:00:00",112,891,924.43
"2020-05-01 00:00:00",118,934,917.71
"2020-05-02 00:00:00",87,809,913.71
"2020-05-03 00:00:00",80,710,933.29
"2020-05-04 00:00:00",110,755,911.86
"2020-05-05 00:00:00",126,766,872.29
"2020-05-06 00:00:00",128,907,852.14
